season,driver_id,race_pace_norm,avg_gap_pct,races,tyre_management_norm,avg_deg_advantage,stint_comparisons,quali_h2h_norm,median_gap_pct,win_rate,quali_sessions,launch_norm,avg_lap1_gain,starts,driver
2018,max_verstappen,65.28935700825801,0.2917363337236874,15.0,44.38417491395922,-0.015734148508461446,24,57.605999502884785,-0.20389979836726857,0.75,20.0,63.76324639174683,1.4,20.0,Max Verstappen
2018,ocon,46.500325341561634,2.2944622918337463,14.0,58.69994282240369,0.024375081183187125,24,56.72391055957131,-0.16031978453021622,0.7619047619047619,21.0,53.151241030228306,0.5294117647058824,17.0,Esteban Ocon
2018,perez,47.8814211699927,2.1472510616169664,17.0,41.30005717759631,-0.024375081183187125,24,43.29092726913977,0.16057722158586696,0.23809523809523808,21.0,48.52641436929625,0.15,20.0,Sergio Pérez
2018,raikkonen,64.02018099208071,0.4270180128489809,15.0,58.91872979331257,0.02498806799086986,25,40.609825207272294,0.2522996057818583,0.19047619047619047,21.0,34.508528908641715,-1.0,20.0,Kimi Räikkönen
2018,ricciardo,62.71055133576718,0.5666116520921809,15.0,55.61582508604078,0.015734148508461446,24,42.405117243046995,0.20431666414707506,0.25,20.0,44.86957468390811,-0.15,20.0,Daniel Ricciardo
2018,sainz,47.78601397683288,2.1574205299387565,17.0,57.372786551399386,0.02065671860209052,24,44.413698298956845,0.1819184123483808,0.38095238095238093,21.0,57.6685135827666,0.9,20.0,Carlos Sainz
2018,sirotkin,36.85141140484517,3.322941606331047,15.0,37.78316248941063,-0.03422854749752789,20,53.09778535261729,-0.0836649495390529,0.6,20.0,62.09521425455224,1.263157894736842,19.0,Sergey Sirotkin
2018,stroll,38.87805055543946,3.1069218078327814,16.0,62.21683751058937,0.03422854749752789,20,46.92138267332122,0.08373686053676499,0.4,20.0,70.4353749405252,1.9473684210526316,19.0,Lance Stroll
2018,vandoorne,42.071575409181186,2.7665234714036244,17.0,53.78925243652598,0.01061654514855667,19,35.66131590818135,0.371722409142472,0.0,21.0,43.65062812211207,-0.25,20.0,Stoffel Vandoorne
2018,vettel,65.16116456607428,0.30540038710063466,17.0,41.08127020668743,-0.02498806799086986,25,59.39620145539262,-0.25166465684475225,0.8095238095238095,21.0,35.72747547043776,-0.9,20.0,Sebastian Vettel
2019,albon,52.234081332307724,1.7836937419556445,19.0,50.88223482732454,0.001004603469790294,29,40.54734644565635,0.2670684106005572,0.3157894736842105,19.0,41.24006540025451,-0.7368421052631579,19.0,Alexander Albon
2019,bottas,63.805727339068,0.4994712632541458,19.0,49.20670733872004,-0.0009265837445611518,37,44.71262143470031,0.12256648519226587,0.3333333333333333,21.0,52.386533272196274,0.23809523809523808,21.0,Valtteri Bottas
2019,gasly,50.92536052544855,1.9289357133684433,19.0,62.21704798245676,0.01406893478701937,31,41.48693326586755,0.2709848523786418,0.4,20.0,49.664388162081956,0.0,20.0,Pierre Gasly
2019,giovinazzi,43.888494532149586,2.709887834002382,19.0,25.708665020829752,-0.028010065928666644,31,49.73709698511799,0.0024840091908284734,0.47368421052631576,19.0,57.28639447040204,0.6666666666666666,21.0,Antonio Giovinazzi
2019,grosjean,41.44806779415954,2.980726647488384,17.0,52.82060395643941,0.003238737916583486,30,46.98995223719395,0.04677998120623528,0.35,20.0,29.656621602741755,-1.75,20.0,Romain Grosjean
2019,hamilton,66.28558174074952,0.22425676354634708,19.0,50.81454372347746,0.0009265837445611518,37,55.54728687216484,-0.12241644365996729,0.6666666666666666,21.0,50.753246206127685,0.09523809523809523,21.0,Lewis Hamilton
2019,hulkenberg,48.450296414362704,2.2036185861271558,19.0,58.93162532576423,0.010282207161542116,31,45.48647903832068,0.10181965054686382,0.35,20.0,51.950990054577986,0.2,20.0,Nico Hülkenberg
2019,kevin_magnussen,44.13526053185837,2.682501717660754,18.0,47.200647105758094,-0.003238737916583486,30,53.27343224818077,-0.04675719682483148,0.65,20.0,57.667494785818036,0.7,20.0,Kevin Magnussen
2019,kubica,27.20857390772847,4.5610271616593225,19.0,52.805258161535654,0.0032210505893902597,35,29.35584563711591,0.5330964015992867,0.0,19.0,63.002899201642094,1.1666666666666667,18.0,Robert Kubica
