season,driver,overperformance,races,overperformance_norm
2020,Lewis Hamilton,1.9571691176470591,16,58.72292463632649
2020,Max Verstappen,-2.286764705882352,17,36.93330917951738
2020,Nicholas Latifi,2.648529411764706,17,62.272573518080684
2020,Nico Hulkenberg,3.9490196078431374,3,68.94967604988526
2020,Pierre Gasly,-0.3985294117647058,17,46.62806943300822
2020,Pietro Fittipaldi,1.5676470588235294,2,56.72300281222728
2020,Romain Grosjean,1.010980392156863,15,53.86491097840999
2020,Sebastian Vettel,1.9485294117647054,17,58.67856582286133
2020,Sergio Perez,2.4190196078431376,15,61.09420208747726
2020,Valtteri Bottas,-1.4985294117647059,17,40.98034305480639
2021,Antonio Giovinazzi,-1.0704545454545453,22,41.35912975224758
2021,Carlos Sainz,2.2647727272727276,22,66.73168281079913
2021,Charles Leclerc,-2.2647727272727276,22,32.27342165530118
2021,Daniel Ricciardo,1.0170454545454546,22,57.23966807202925
2021,Esteban Ocon,-0.6045454545454546,22,44.903506840494984
2021,Fernando Alonso,0.6045454545454547,22,54.10159762560532
2021,George Russell,-1.0806818181818174,22,41.281326352749474
2021,Kimi Räikkönen,1.036818181818182,20,57.3900879777256
2021,Lance Stroll,1.2909090909090908,22,59.3230702141454
2021,Lando Norris,-1.0170454545454546,22,41.76543639407106
2021,Lewis Hamilton,1.0147727272727272,22,57.22237842769633
2021,Max Verstappen,-1.128409090909091,22,40.91824382175827
2021,Mick Schumacher,0.984090909090909,22,56.98896822920199
2021,Nicholas Latifi,1.0806818181818185,22,57.723778113350846
2021,Nikita Mazepin,-0.984090909090909,22,42.01613623689832
2021,Pierre Gasly,-1.6090909090909087,22,37.261484045346926
2021,Robert Kubica,1.4068181818181822,2,60.20484207512403
2021,Sebastian Vettel,-1.2909090909090912,22,39.6820342519549
2021,Sergio Perez,1.1284090909090911,22,58.08686064434204
2021,Valtteri Bottas,-1.0147727272727272,22,41.78272603840398
2021,Yuki Tsunoda,1.6090909090909091,22,61.74362042075339
2022,Alexander Albon,0.4399350649350649,21,53.52948605274802
2022,Carlos Sainz,-1.530681818181818,22,39.46846869646769
2022,Charles Leclerc,1.530681818181818,22,61.31233271366305
2022,Daniel Ricciardo,-0.33750000000000013,22,47.98222415973982
2022,Esteban Ocon,3.188636363636364,22,73.1423986383431
2022,Fernando Alonso,-3.1886363636363626,22,27.638402771787653
2022,George Russell,0.4863636363636363,22,53.86076959866582
2022,Guanyu Zhou,0.644318181818182,22,54.98782865523232
2022,Kevin Magnussen,-1.277272727272727,22,41.27662819009596
2022,Lance Stroll,1.2045454545454548,22,58.985239553702
2022,Lando Norris,0.33749999999999986,22,52.79857725039091
2022,Lewis Hamilton,-0.48636363636363655,22,46.920031811464916
2022,Max Verstappen,0.6977272727272724,22,55.36892056644545
2022,Mick Schumacher,1.2772727272727273,22,59.50417322003478
2022,Nicholas Latifi,-0.33409090909090894,22,48.00654917534917
2022,Nico Hulkenberg,0.7772727272727276,2,55.93650426399693
2022,Nyck De Vries,-1.8886363636363637,1,36.914342057486046
